Shipping_Mode,Order_Priority,Customer_Segment,Market,Product_Category,Order_Quantity,Discount,Price,Days_for_Shipment_Scheduled,Order_Weekday,Order_Month,Late_Delivery_Risk
Standard Class,Medium,Consumer,Africa,Office Supplies,10,0.16,212.34,7,Tuesday,2,1
Standard Class,Low,Home Office,LATAM,Apparel,13,0.23,1078.23,6,Monday,12,0
Standard Class,Medium,Corporate,Europe,Electronics,10,0.16,352.52,6,Friday,7,0
Standard Class,High,Home Office,Africa,Electronics,10,0.36,627.16,7,Thursday,3,1
Same Day,Medium,Corporate,LATAM,Electronics,14,0.0,575.33,7,Tuesday,7,0
Standard Class,Low,Consumer,Europe,Office Supplies,19,0.16,845.8,3,Thursday,5,0
Standard Class,High,Corporate,Africa,Office Supplies,19,0.3,288.5,2,Saturday,4,1
Standard Class,Low,Consumer,Europe,Office Supplies,1,0.36,1007.98,7,Tuesday,1,0
Standard Class,High,Consumer,Pacific Asia,Office Supplies,8,0.14,888.1,3,Saturday,11,0
Standard Class,Low,Consumer,Europe,Furniture,17,0.27,417.71,6,Thursday,10,1
Standard Class,Medium,Consumer,LATAM,Electronics,10,0.23,153.14,2,Tuesday,9,1
Standard Class,Medium,Consumer,Africa,Electronics,1,0.08,610.67,4,Friday,5,1
Standard Class,Low,Consumer,LATAM,Grocery,8,0.27,1176.83,6,Tuesday,12,0
First Class,High,Consumer,Pacific Asia,Apparel,5,0.1,38.86,5,Thursday,3,0
Second Class,Medium,Consumer,USCA,Furniture,2,0.31,1015.38,3,Wednesday,3,0
Standard Class,Low,Corporate,Europe,Apparel,19,0.35,842.72,1,Saturday,2,1
Standard Class,Medium,Consumer,LATAM,Furniture,2,0.19,227.98,1,Saturday,10,1
Standard Class,Medium,Consumer,Africa,Furniture,11,0.02,576.94,2,Monday,7,1
First Class,Low,Consumer,Africa,Furniture,3,0.29,756.94,7,Wednesday,7,0
Standard Class,Critical,Corporate,USCA,Electronics,9,0.19,839.05,7,Friday,3,1
Standard Class,High,Corporate,Africa,Apparel,8,0.04,1106.42,2,Sunday,6,1
First Class,Low,Home Office,Pacific Asia,Apparel,6,0.13,1048.96,3,Friday,11,0
Standard Class,Medium,Home Office,USCA,Office Supplies,14,0.12,400.83,4,Tuesday,8,1
Standard Class,Low,Consumer,Pacific Asia,Apparel,8,0.29,152.84,1,Wednesday,10,1
Standard Class,High,Consumer,Europe,Office Supplies,15,0.17,134.08,7,Wednesday,7,0
Same Day,High,Consumer,Pacific Asia,Grocery,3,0.23,1162.8,3,Tuesday,12,0
First Class,Low,Home Office,Europe,Office Supplies,8,0.2,1147.42,6,Wednesday,4,0
Second Class,High,Corporate,Pacific Asia,Furniture,16,0.29,985.22,1,Tuesday,1,1
Standard Class,Medium,Consumer,USCA,Electronics,6,0.29,1176.75,5,Thursday,1,0
Standard Class,Low,Consumer,Europe,Furniture,7,0.18,336.26,2,Tuesday,6,1
Same Day,High,Consumer,Pacific Asia,Grocery,13,0.05,992.42,6,Saturday,12,0
Same Day,Medium,Consumer,Pacific Asia,Electronics,9,0.16,607.65,3,Thursday,6,0
Standard Class,Medium,Home Office,Africa,Grocery,19,0.06,961.07,2,Monday,1,1
First Class,Medium,Corporate,Pacific Asia,Furniture,7,0.38,736.89,3,Sunday,5,0
Standard Class,Low,Corporate,Africa,Electronics,16,0.38,1016.96,7,Saturday,3,1
Standard Class,Low,Consumer,Pacific Asia,Grocery,7,0.18,482.84,2,Sunday,7,1
Second Class,High,Consumer,LATAM,Office Supplies,15,0.01,1187.08,2,Thursday,9,0
Standard Class,Medium,Corporate,Africa,Apparel,5,0.15,270.88,3,Wednesday,6,1
Same Day,High,Corporate,USCA,Furniture,2,0.36,810.41,5,Saturday,7,0
Standard Class,Low,Consumer,USCA,Office Supplies,2,0.12,965.07,1,Saturday,4,1
Standard Class,Medium,Corporate,Europe,Grocery,5,0.25,707.05,3,Monday,9,0
Same Day,Critical,Home Office,USCA,Grocery,12,0.07,355.45,6,Wednesday,2,0
Same Day,Low,Consumer,Europe,Electronics,4,0.33,677.95,5,Tuesday,9,0
Standard Class,Low,Corporate,USCA,Office Supplies,18,0.36,610.6,4,Monday,11,1
Standard Class,Medium,Consumer,Africa,Grocery,11,0.25,236.24,6,Monday,9,1
Second Class,Low,Corporate,LATAM,Electronics,6,0.25,918.21,2,Friday,2,0
Standard Class,Low,Consumer,Europe,Apparel,13,0.15,327.95,2,Sunday,6,1
Same Day,High,Corporate,LATAM,Apparel,5,0.28,1000.21,1,Wednesday,4,0
Same Day,Critical,Consumer,Pacific Asia,Electronics,4,0.19,265.04,1,Thursday,10,1
Standard Class,Medium,Consumer,Pacific Asia,Office Supplies,10,0.3,607.76,6,Wednesday,8,0
Standard Class,High,Corporate,LATAM,Electronics,2,0.39,837.31,7,Saturday,2,0
Standard Class,High,Corporate,Africa,Electronics,8,0.33,1195.04,2,Saturday,7,1
Same Day,Medium,Home Office,LATAM,Office Supplies,3,0.21,332.48,2,Tuesday,2,0
Standard Class,Low,Corporate,LATAM,Apparel,9,0.39,766.38,3,Thursday,4,0
Standard Class,Low,Corporate,LATAM,Grocery,2,0.24,192.5,1,Thursday,11,1
Standard Class,Low,Corporate,Europe,Apparel,17,0.03,985.37,3,Friday,3,0
Second Class,Low,Consumer,Europe,Office Supplies,1,0.29,1035.12,3,Wednesday,7,0
Standard Class,Low,Consumer,LATAM,Furniture,17,0.33,1066.67,7,Monday,3,1
Standard Class,Low,Consumer,Africa,Office Supplies,5,0.05,1135.19,2,Friday,2,1
Same Day,Low,Consumer,Pacific Asia,Apparel,13,0.27,433.26,1,Monday,9,1
Same Day,Low,Consumer,Pacific Asia,Apparel,8,0.37,803.07,5,Saturday,10,0
First Class,Medium,Home Office,Pacific Asia,Office Supplies,7,0.1,385.73,7,Wednesday,9,0
Standard Class,Low,Home Office,USCA,Office Supplies,14,0.23,966.53,1,Thursday,1,1
Standard Class,High,Home Office,Africa,Office Supplies,8,0.11,504.56,3,Wednesday,12,1
Second Class,Low,Home Office,Europe,Apparel,11,0.31,670.34,3,Monday,5,0
Standard Class,High,Consumer,Pacific Asia,Electronics,3,0.23,168.26,2,Wednesday,11,1
Same Day,Critical,Consumer,Europe,Furniture,5,0.17,1022.09,4,Monday,4,0
Second Class,Medium,Corporate,Europe,Electronics,18,0.01,584.7,1,Wednesday,11,0
Standard Class,Medium,Home Office,Europe,Apparel,5,0.38,772.17,7,Thursday,4,0
Same Day,High,Consumer,Europe,Electronics,13,0.2,806.45,5,Monday,1,0
Same Day,Low,Corporate,LATAM,Office Supplies,5,0.32,336.36,1,Friday,3,0
Standard Class,Critical,Consumer,Europe,Grocery,2,0.16,956.03,1,Saturday,3,1
Standard Class,High,Consumer,USCA,Office Supplies,13,0.34,1001.31,3,Monday,12,1
Standard Class,Medium,Consumer,Europe,Furniture,6,0.06,623.75,6,Sunday,2,0
Standard Class,Low,Consumer,Pacific Asia,Office Supplies,17,0.09,1083.87,7,Monday,6,0
Standard Class,Medium,Home Office,Europe,Grocery,8,0.13,201.47,2,Monday,9,1
Second Class,Medium,Consumer,Pacific Asia,Apparel,17,0.04,503.17,5,Monday,6,0
Same Day,Medium,Home Office,Europe,Electronics,19,0.18,62.74,5,Friday,12,0
Standard Class,Medium,Consumer,Africa,Office Supplies,15,0.19,484.29,1,Sunday,8,1
Standard Class,Low,Home Office,LATAM,Electronics,1,0.05,1196.48,1,Sunday,12,1
Second Class,Low,Corporate,Pacific Asia,Furniture,18,0.17,561.19,6,Monday,8,0
Standard Class,Medium,Corporate,USCA,Electronics,7,0.08,508.86,7,Saturday,12,0
First Class,Low,Consumer,Europe,Furniture,7,0.35,828.51,6,Saturday,12,0
Standard Class,Low,Corporate,Pacific Asia,Furniture,16,0.2,67.84,7,Sunday,9,0
Standard Class,Low,Home Office,LATAM,Office Supplies,11,0.38,430.98,5,Wednesday,12,0
Standard Class,Low,Consumer,Europe,Grocery,5,0.14,644.35,5,Saturday,1,0
First Class,Medium,Consumer,LATAM,Electronics,14,0.14,586.04,7,Saturday,1,0
Standard Class,Low,Consumer,USCA,Furniture,10,0.14,774.55,4,Friday,6,0
First Class,High,Consumer,Pacific Asia,Furniture,5,0.11,175.34,4,Wednesday,4,0
Standard Class,High,Consumer,USCA,Furniture,19,0.31,489.11,5,Wednesday,10,1
Standard Class,Medium,Corporate,LATAM,Apparel,18,0.11,763.98,2,Saturday,1,1
Standard Class,Low,Consumer,Africa,Electronics,4,0.12,368.96,4,Friday,7,1
Same Day,Medium,Corporate,Africa,Electronics,9,0.02,739.33,3,Friday,3,0
Same Day,Medium,Home Office,Pacific Asia,Furniture,19,0.39,1150.39,7,Monday,9,0
Standard Class,Critical,Corporate,Europe,Electronics,11,0.35,1117.16,3,Monday,1,1
Standard Class,Medium,Consumer,USCA,Electronics,3,0.12,873.36,6,Friday,11,0
Standard Class,Medium,Corporate,Africa,Apparel,11,0.21,221.38,7,Saturday,8,1
Standard Class,High,Consumer,Africa,Furniture,7,0.19,943.25,3,Tuesday,9,1
Standard Class,Low,Consumer,Europe,Electronics,17,0.04,541.58,1,Wednesday,6,1
Same Day,Low,Consumer,USCA,Grocery,18,0.21,1142.56,7,Thursday,7,0
Same Day,Medium,Home Office,LATAM,Furniture,15,0.05,737.59,4,Tuesday,6,0
Standard Class,Low,Corporate,Africa,Electronics,17,0.17,268.97,6,Monday,12,1
Standard Class,Low,Consumer,Pacific Asia,Apparel,17,0.04,381.79,6,Thursday,7,0
First Class,Medium,Consumer,Pacific Asia,Grocery,10,0.24,389.68,1,Monday,2,0
First Class,Low,Consumer,LATAM,Office Supplies,15,0.02,338.78,2,Friday,3,0
Standard Class,Medium,Home Office,Europe,Office Supplies,16,0.25,928.47,5,Monday,2,1
Standard Class,High,Home Office,Europe,Grocery,15,0.28,410.73,5,Sunday,10,1
Standard Class,Low,Consumer,Africa,Office Supplies,9,0.23,242.79,2,Friday,5,1
Standard Class,Low,Consumer,Africa,Grocery,19,0.19,719.36,7,Sunday,9,1
Standard Class,Low,Corporate,Africa,Electronics,1,0.02,563.09,4,Sunday,6,1
Standard Class,Low,Consumer,LATAM,Office Supplies,2,0.0,36.38,6,Wednesday,2,0
Second Class,Low,Consumer,LATAM,Office Supplies,6,0.14,342.15,2,Monday,9,0
Standard Class,Low,Corporate,Africa,Grocery,9,0.31,55.45,6,Friday,9,1
Standard Class,Medium,Consumer,Europe,Electronics,18,0.26,922.78,5,Friday,1,1
Standard Class,Low,Corporate,USCA,Electronics,1,0.05,1141.72,5,Sunday,3,0
First Class,Medium,Consumer,Africa,Furniture,10,0.28,605.2,6,Monday,5,0
First Class,High,Corporate,Europe,Furniture,4,0.23,674.22,2,Monday,2,0
Standard Class,High,Corporate,Europe,Electronics,14,0.07,1015.65,1,Friday,3,1
Standard Class,Medium,Corporate,Pacific Asia,Grocery,6,0.3,32.57,6,Tuesday,5,0
Same Day,Low,Corporate,USCA,Apparel,5,0.33,203.17,2,Saturday,11,0
Standard Class,Medium,Consumer,Africa,Apparel,15,0.09,788.69,1,Tuesday,10,1
Standard Class,Low,Consumer,USCA,Furniture,10,0.25,892.67,4,Friday,3,0
Standard Class,Low,Consumer,Africa,Office Supplies,3,0.15,755.18,6,Sunday,10,1
Standard Class,High,Consumer,USCA,Apparel,17,0.02,1127.7,5,Sunday,7,0
Standard Class,Low,Consumer,USCA,Office Supplies,9,0.34,476.92,3,Friday,8,0
Same Day,Low,Corporate,Europe,Office Supplies,9,0.33,670.55,3,Friday,1,0
Second Class,High,Consumer,USCA,Electronics,15,0.13,1148.12,5,Friday,7,0
Standard Class,High,Consumer,USCA,Apparel,18,0.21,1080.57,2,Tuesday,12,1
Same Day,Low,Home Office,Africa,Apparel,3,0.2,46.66,7,Friday,8,0
Standard Class,Low,Corporate,Europe,Office Supplies,8,0.07,429.05,6,Saturday,7,0
Standard Class,Medium,Consumer,USCA,Office Supplies,3,0.06,889.4,6,Thursday,5,0
Second Class,Medium,Consumer,Europe,Electronics,19,0.34,11.04,6,Wednesday,1,0
Second Class,Low,Consumer,Europe,Grocery,13,0.35,1036.96,5,Monday,9,0
Standard Class,Medium,Consumer,LATAM,Apparel,16,0.29,607.51,7,Saturday,5,1
Standard Class,Critical,Home Office,Africa,Apparel,7,0.03,113.05,7,Monday,8,1
Second Class,Low,Consumer,LATAM,Electronics,5,0.36,536.53,2,Monday,6,0
Second Class,High,Corporate,Europe,Electronics,19,0.39,596.22,2,Wednesday,10,1
Second Class,Critical,Home Office,USCA,Grocery,2,0.31,446.65,5,Sunday,4,0
Standard Class,Low,Corporate,Africa,Office Supplies,3,0.14,550.63,7,Saturday,8,1
Standard Class,High,Consumer,Pacific Asia,Apparel,3,0.16,1070.76,3,Thursday,4,0
Standard Class,Low,Corporate,Africa,Office Supplies,2,0.35,395.64,5,Thursday,8,1
Standard Class,Medium,Home Office,LATAM,Apparel,16,0.11,1153.49,6,Sunday,2,0
Same Day,High,Corporate,Africa,Electronics,17,0.06,827.56,7,Thursday,8,0
Standard Class,Low,Home Office,USCA,Electronics,16,0.33,1076.26,2,Tuesday,12,1
Standard Class,Medium,Corporate,Africa,Electronics,16,0.08,258.68,4,Saturday,7,1
First Class,High,Home Office,Pacific Asia,Grocery,19,0.36,595.3,6,Friday,3,0
Standard Class,Low,Home Office,LATAM,Apparel,17,0.24,682.85,3,Monday,5,0
Standard Class,Low,Corporate,LATAM,Electronics,5,0.22,111.49,7,Saturday,1,0
First Class,Low,Corporate,Europe,Grocery,12,0.31,597.43,7,Thursday,6,0
First Class,Medium,Corporate,LATAM,Office Supplies,12,0.01,1034.54,7,Wednesday,4,0
Second Class,Critical,Corporate,Pacific Asia,Grocery,7,0.29,72.11,7,Sunday,4,0
Standard Class,High,Home Office,Pacific Asia,Grocery,7,0.24,774.34,2,Saturday,5,1
Second Class,Medium,Consumer,LATAM,Furniture,4,0.21,1186.62,3,Friday,12,0
First Class,Medium,Corporate,Africa,Office Supplies,6,0.09,637.64,1,Saturday,9,1
Standard Class,Low,Corporate,Pacific Asia,Furniture,16,0.33,371.01,5,Friday,2,1
Standard Class,Low,Corporate,LATAM,Apparel,8,0.1,706.09,5,Monday,9,0
First Class,Medium,Corporate,LATAM,Grocery,6,0.2,654.31,3,Monday,12,0
Standard Class,Medium,Consumer,Africa,Grocery,19,0.06,135.14,1,Tuesday,3,1
First Class,Medium,Consumer,LATAM,Grocery,10,0.39,265.01,6,Friday,1,0
Standard Class,Critical,Home Office,USCA,Grocery,16,0.08,806.59,4,Friday,12,1
Standard Class,Medium,Home Office,Europe,Furniture,2,0.32,715.15,4,Tuesday,10,0
Standard Class,Medium,Consumer,Pacific Asia,Apparel,14,0.11,419.74,4,Sunday,10,1
First Class,Low,Corporate,Africa,Furniture,11,0.1,1174.45,3,Saturday,1,0
Standard Class,Critical,Home Office,Africa,Grocery,2,0.17,777.27,2,Wednesday,8,1
Standard Class,High,Corporate,Europe,Apparel,3,0.34,284.66,5,Friday,7,0
Second Class,High,Corporate,USCA,Office Supplies,11,0.28,570.71,1,Saturday,4,0
Second Class,Medium,Consumer,Europe,Furniture,4,0.35,856.79,1,Saturday,2,0
Same Day,Medium,Corporate,LATAM,Electronics,14,0.02,809.66,7,Saturday,6,0
Standard Class,Medium,Corporate,Africa,Office Supplies,5,0.38,303.13,4,Sunday,9,1
Standard Class,Low,Corporate,LATAM,Office Supplies,3,0.03,780.94,6,Sunday,11,0
Same Day,Medium,Corporate,Africa,Grocery,8,0.29,406.12,4,Friday,4,0
Second Class,High,Consumer,Africa,Grocery,10,0.08,554.43,7,Tuesday,7,0
Standard Class,Low,Home Office,LATAM,Office Supplies,12,0.34,806.29,7,Saturday,10,0
Standard Class,Low,Corporate,Europe,Furniture,8,0.34,701.38,6,Friday,4,0
First Class,Medium,Corporate,Pacific Asia,Apparel,7,0.22,858.15,7,Tuesday,4,0
Standard Class,Low,Home Office,Pacific Asia,Furniture,2,0.16,464.39,1,Wednesday,10,1
Second Class,Medium,Home Office,Europe,Furniture,12,0.32,904.88,5,Friday,7,0
Standard Class,Medium,Home Office,USCA,Office Supplies,11,0.35,28.64,1,Monday,4,1
Standard Class,Low,Corporate,Europe,Furniture,9,0.3,233.68,4,Wednesday,12,0
Second Class,High,Corporate,Europe,Apparel,5,0.36,1168.14,4,Sunday,10,0
Standard Class,Medium,Consumer,Europe,Office Supplies,6,0.25,113.21,3,Monday,7,0
Standard Class,High,Consumer,Pacific Asia,Furniture,7,0.27,797.66,4,Thursday,1,0
Standard Class,High,Corporate,Africa,Grocery,14,0.23,1100.94,3,Wednesday,1,1
Standard Class,High,Corporate,USCA,Furniture,18,0.2,1032.86,5,Monday,4,0
Second Class,Low,Consumer,USCA,Office Supplies,15,0.26,1096.18,4,Friday,4,0
First Class,Low,Home Office,USCA,Office Supplies,1,0.22,1180.85,7,Friday,1,0
First Class,Low,Corporate,LATAM,Grocery,16,0.29,435.16,4,Friday,6,0
Standard Class,Medium,Corporate,Europe,Office Supplies,15,0.37,402.89,1,Friday,10,1
Standard Class,High,Consumer,Africa,Electronics,9,0.15,153.83,4,Wednesday,1,1
Standard Class,Medium,Consumer,Africa,Office Supplies,7,0.16,249.77,5,Wednesday,1,1
Same Day,High,Home Office,LATAM,Furniture,12,0.01,786.93,7,Friday,12,0
First Class,Low,Consumer,Pacific Asia,Apparel,9,0.21,404.07,6,Monday,1,0
First Class,Low,Corporate,LATAM,Furniture,12,0.05,415.97,2,Monday,1,0
Standard Class,High,Corporate,LATAM,Office Supplies,11,0.29,778.65,1,Friday,9,1
Standard Class,Medium,Corporate,Europe,Electronics,3,0.31,134.5,5,Monday,4,0
Standard Class,High,Corporate,Pacific Asia,Furniture,13,0.29,76.57,3,Tuesday,7,1
Standard Class,Low,Consumer,LATAM,Apparel,5,0.22,965.38,7,Sunday,8,0
Standard Class,High,Consumer,Africa,Furniture,18,0.21,949.92,7,Saturday,10,1
Same Day,Medium,Corporate,Europe,Grocery,11,0.26,468.26,1,Saturday,7,0
Standard Class,High,Corporate,Pacific Asia,Electronics,3,0.22,715.75,4,Monday,1,0
Standard Class,Low,Consumer,Africa,Office Supplies,9,0.3,293.31,1,Monday,1,1
Standard Class,Medium,Consumer,USCA,Furniture,8,0.36,447.49,3,Saturday,5,0
Same Day,High,Consumer,Europe,Furniture,8,0.21,53.32,6,Monday,4,0
Second Class,High,Corporate,Africa,Furniture,13,0.04,335.59,2,Tuesday,10,1
Second Class,Low,Consumer,LATAM,Furniture,11,0.05,29.49,6,Saturday,10,0
Same Day,Low,Consumer,LATAM,Apparel,6,0.15,514.65,4,Saturday,5,0
Standard Class,Medium,Corporate,Europe,Grocery,13,0.2,628.47,5,Tuesday,1,1
Second Class,Low,Consumer,Pacific Asia,Grocery,11,0.09,599.44,7,Friday,5,0
Standard Class,Medium,Corporate,LATAM,Electronics,14,0.18,415.45,2,Sunday,2,1
Standard Class,Low,Consumer,Africa,Electronics,14,0.05,256.27,7,Thursday,12,1
First Class,Low,Home Office,USCA,Apparel,19,0.1,550.67,6,Saturday,8,0
First Class,Medium,Consumer,Pacific Asia,Grocery,5,0.29,1045.22,3,Thursday,6,0
Standard Class,Medium,Consumer,Europe,Electronics,15,0.39,1180.04,2,Tuesday,10,1
Standard Class,Medium,Home Office,LATAM,Office Supplies,13,0.07,382.14,5,Monday,5,0
Standard Class,Critical,Consumer,Pacific Asia,Grocery,16,0.14,1169.57,5,Monday,2,1
Standard Class,Low,Corporate,USCA,Furniture,19,0.14,527.12,1,Tuesday,5,1
Standard Class,Medium,Consumer,Pacific Asia,Grocery,17,0.09,739.79,2,Monday,8,1
Standard Class,Low,Consumer,Pacific Asia,Office Supplies,16,0.08,966.42,1,Friday,5,1
Standard Class,Medium,Corporate,Europe,Furniture,14,0.05,437.71,4,Monday,10,0
First Class,Low,Home Office,USCA,Grocery,17,0.36,257.86,3,Saturday,7,0
Standard Class,Low,Consumer,USCA,Furniture,7,0.26,334.96,4,Wednesday,3,0
Standard Class,Low,Corporate,Pacific Asia,Furniture,6,0.12,1007.95,5,Thursday,2,0
Standard Class,Low,Corporate,LATAM,Apparel,5,0.1,1122.03,5,Thursday,7,0
First Class,High,Consumer,Pacific Asia,Office Supplies,1,0.24,162.9,5,Monday,8,0
Standard Class,Medium,Corporate,Africa,Apparel,16,0.28,836.47,7,Thursday,2,1
Standard Class,Critical,Consumer,LATAM,Grocery,14,0.1,51.54,5,Wednesday,10,1
Standard Class,Medium,Consumer,Europe,Furniture,2,0.14,1051.2,7,Monday,11,0
Second Class,Low,Consumer,USCA,Grocery,4,0.12,1029.62,2,Friday,2,0
Second Class,Low,Home Office,LATAM,Grocery,1,0.04,931.78,2,Thursday,8,0
First Class,Low,Consumer,Europe,Apparel,2,0.15,991.01,7,Thursday,10,0
Same Day,Low,Corporate,Pacific Asia,Grocery,9,0.21,729.18,5,Thursday,7,0
First Class,Medium,Consumer,Europe,Office Supplies,1,0.26,185.3,6,Tuesday,2,0
Second Class,Medium,Consumer,Africa,Furniture,16,0.17,1098.32,4,Monday,5,0
Standard Class,Low,Corporate,Europe,Electronics,14,0.39,177.82,3,Sunday,10,1
Standard Class,Low,Corporate,LATAM,Office Supplies,13,0.25,277.99,3,Tuesday,8,1
Same Day,Low,Consumer,USCA,Electronics,19,0.35,524.81,6,Friday,10,0
Standard Class,Low,Consumer,LATAM,Electronics,15,0.37,602.58,4,Tuesday,5,1
Standard Class,Low,Home Office,LATAM,Apparel,18,0.33,124.62,4,Wednesday,4,1
Second Class,High,Consumer,USCA,Electronics,3,0.11,916.4,4,Wednesday,2,0
Standard Class,Low,Corporate,Africa,Furniture,15,0.17,173.39,6,Monday,1,1
Second Class,Medium,Corporate,LATAM,Apparel,15,0.0,789.16,3,Friday,6,0
Second Class,Low,Corporate,USCA,Office Supplies,5,0.18,547.86,3,Friday,2,0
Standard Class,Low,Home Office,USCA,Office Supplies,13,0.12,975.01,5,Wednesday,7,0
First Class,High,Corporate,LATAM,Office Supplies,16,0.04,361.77,5,Monday,7,0
Standard Class,Medium,Consumer,USCA,Grocery,15,0.34,1005.47,4,Tuesday,8,1
Standard Class,Low,Consumer,Pacific Asia,Apparel,14,0.27,310.19,2,Monday,6,1
Standard Class,High,Consumer,LATAM,Apparel,9,0.4,693.47,6,Tuesday,1,0
Second Class,Low,Consumer,Africa,Apparel,18,0.2,588.47,2,Thursday,2,1
First Class,Low,Home Office,Pacific Asia,Furniture,17,0.13,429.57,1,Sunday,12,0
Standard Class,High,Consumer,Africa,Apparel,5,0.11,24.02,7,Saturday,3,1
Second Class,Medium,Corporate,LATAM,Furniture,15,0.17,483.44,3,Tuesday,3,0
Standard Class,Low,Corporate,Europe,Office Supplies,11,0.12,150.85,2,Monday,9,1
Same Day,Low,Home Office,USCA,Grocery,12,0.4,277.94,7,Wednesday,4,0
Standard Class,High,Corporate,Pacific Asia,Electronics,7,0.07,829.08,1,Thursday,1,1
Second Class,Low,Corporate,LATAM,Grocery,9,0.01,689.83,3,Monday,5,0
Standard Class,Low,Consumer,USCA,Grocery,3,0.05,637.22,4,Wednesday,11,0
Standard Class,Medium,Corporate,Europe,Grocery,17,0.36,681.18,4,Sunday,5,1
Standard Class,High,Consumer,Africa,Electronics,9,0.28,152.86,5,Friday,11,1
First Class,Low,Home Office,LATAM,Furniture,11,0.31,205.92,1,Friday,12,0
Standard Class,High,Consumer,LATAM,Office Supplies,14,0.13,655.93,1,Wednesday,2,1
Same Day,Medium,Consumer,Europe,Electronics,10,0.25,494.12,1,Monday,7,0
Standard Class,Medium,Consumer,Africa,Office Supplies,4,0.28,561.21,1,Thursday,6,1
Standard Class,Medium,Corporate,LATAM,Furniture,16,0.13,1056.19,5,Friday,6,0
Standard Class,Critical,Corporate,USCA,Office Supplies,16,0.29,230.35,6,Tuesday,6,1
First Class,Low,Consumer,Europe,Furniture,12,0.25,1093.73,5,Monday,8,0
Standard Class,Low,Consumer,LATAM,Electronics,6,0.12,1030.41,4,Tuesday,1,0
First Class,High,Consumer,Africa,Electronics,7,0.02,1083.13,7,Wednesday,8,0
Same Day,Medium,Consumer,Pacific Asia,Office Supplies,8,0.1,773.22,7,Tuesday,2,0
Same Day,Medium,Corporate,LATAM,Office Supplies,6,0.25,1038.08,4,Monday,5,0
Standard Class,Medium,Consumer,Africa,Grocery,7,0.24,1189.52,2,Friday,10,1
Second Class,Medium,Corporate,Europe,Grocery,9,0.2,570.98,6,Wednesday,3,0
First Class,High,Consumer,Africa,Office Supplies,16,0.1,1035.55,1,Thursday,6,1
Standard Class,High,Home Office,Africa,Grocery,13,0.18,1085.39,7,Saturday,12,1
Second Class,Medium,Consumer,Europe,Office Supplies,15,0.06,378.62,1,Friday,7,0
Standard Class,Low,Corporate,Pacific Asia,Apparel,18,0.26,536.82,1,Monday,6,1
Standard Class,Medium,Corporate,USCA,Grocery,4,0.35,692.67,5,Wednesday,8,0
Standard Class,Medium,Consumer,Pacific Asia,Office Supplies,5,0.19,425.5,6,Friday,2,0
Standard Class,Medium,Consumer,USCA,Apparel,8,0.09,393.35,1,Wednesday,1,1
Standard Class,Medium,Consumer,USCA,Grocery,4,0.33,463.05,1,Friday,11,1
Standard Class,Low,Consumer,USCA,Electronics,17,0.13,514.45,4,Wednesday,3,0
Second Class,Medium,Consumer,LATAM,Office Supplies,17,0.24,310.2,2,Saturday,4,0
Standard Class,Medium,Consumer,Pacific Asia,Electronics,2,0.03,573.24,7,Saturday,1,0
Standard Class,High,Consumer,Africa,Grocery,16,0.29,936.71,7,Tuesday,4,1
Standard Class,Medium,Consumer,LATAM,Apparel,19,0.18,753.14,6,Saturday,12,0
Second Class,Low,Consumer,Europe,Office Supplies,7,0.17,461.92,5,Tuesday,9,0
Second Class,Medium,Consumer,Europe,Apparel,11,0.37,195.87,5,Wednesday,1,0
Second Class,High,Consumer,USCA,Electronics,1,0.2,990.61,3,Thursday,4,0
Second Class,Medium,Corporate,LATAM,Office Supplies,18,0.01,618.49,1,Friday,2,0
Standard Class,Medium,Corporate,LATAM,Electronics,7,0.38,1165.78,1,Wednesday,8,1
First Class,Medium,Home Office,Europe,Electronics,13,0.0,310.7,1,Saturday,9,0
Standard Class,Low,Consumer,Africa,Apparel,3,0.21,218.86,2,Sunday,11,1
Standard Class,High,Consumer,Pacific Asia,Grocery,9,0.25,19.53,1,Saturday,12,1
Second Class,Low,Consumer,Pacific Asia,Electronics,17,0.36,108.32,5,Friday,2,0
Standard Class,Medium,Corporate,USCA,Electronics,2,0.27,468.63,6,Friday,3,0
Second Class,Low,Corporate,USCA,Furniture,15,0.32,245.91,4,Thursday,11,0
Second Class,Low,Consumer,USCA,Apparel,9,0.31,55.08,4,Monday,12,0
Standard Class,Medium,Corporate,Europe,Electronics,7,0.09,278.19,3,Monday,7,0
Standard Class,Medium,Corporate,Europe,Furniture,19,0.28,877.22,2,Monday,12,1
Standard Class,Medium,Home Office,Pacific Asia,Apparel,11,0.26,885.48,2,Sunday,12,1
Same Day,Medium,Consumer,USCA,Office Supplies,18,0.1,188.07,6,Friday,3,0
Second Class,Medium,Consumer,LATAM,Grocery,17,0.05,1124.42,1,Saturday,5,0
Standard Class,Medium,Consumer,Africa,Apparel,4,0.3,199.25,3,Sunday,7,1
Standard Class,Medium,Consumer,Europe,Electronics,2,0.39,116.32,4,Thursday,11,0
Second Class,Medium,Home Office,USCA,Furniture,17,0.3,203.9,1,Wednesday,5,1
First Class,Medium,Consumer,USCA,Furniture,1,0.3,177.22,2,Saturday,8,0
Standard Class,Medium,Corporate,Europe,Office Supplies,13,0.07,761.73,1,Sunday,11,1
Standard Class,High,Consumer,Pacific Asia,Furniture,10,0.1,195.95,4,Tuesday,2,0
